Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
17/08/13,Arsenal,Aston Villa,average,average,1,1,0.0,0.0,0.0,0.0,D,0,1.44,4.75,8,A
17/08/13,Liverpool,Stoke,average,average,2,2,0.0,0.0,0.0,0.0,D,0,1.4,5,9.5,H
17/08/13,Norwich,Everton,average,average,2,2,0.0,0.0,0.0,0.0,D,0,3.2,3.4,2.4,D
17/08/13,Sunderland,Fulham,average,average,3,3,0.0,0.0,0.0,0.0,D,0,2.3,3.4,3.4,A
17/08/13,Swansea,Man United,average,average,3,3,0.0,0.0,0.0,0.0,D,0,4.2,3.5,2,A
17/08/13,West Brom,Southampton,average,average,3,3,0.0,0.0,0.0,0.0,D,0,2.4,3.4,3.2,A
17/08/13,West Ham,Cardiff,average,average,3,3,0.0,0.0,0.0,0.0,D,0,2,3.6,4,H
18/08/13,Chelsea,Hull,average,average,3,3,0.0,0.0,0.0,0.0,D,0,1.2,7,21,H
18/08/13,Crystal Palace,Tottenham,average,average,3,3,0.0,0.0,0.0,0.0,D,0,4.75,3.75,1.83,A
19/08/13,Man City,Newcastle,average,average,3,3,0.0,0.0,0.0,0.0,D,0,1.33,5.5,11,H
21/08/13,Chelsea,Aston Villa,good,good,1,1,16.0,10.0,6.0,5.0,D,0,1.29,5.5,10,H
24/08/13,Aston Villa,Liverpool,average,good,2,2,8.5,26.0,4.0,12.0,D,0,4,3.75,1.95,A
24/08/13,Everton,West Brom,average,poor,3,4,20.0,11.0,6.0,1.0,D,1,1.57,4.33,6.5,D
24/08/13,Fulham,Arsenal,good,poor,2,5,5.0,16.0,1.0,5.0,D,3,3.8,3.5,2.1,A
24/08/13,Hull,Norwich,poor,average,5,4,3.0,8.0,2.0,2.0,D,-2,2.45,3.4,3.1,H
24/08/13,Newcastle,West Ham,poor,good,5,2,3.0,18.0,1.0,4.0,A,-6,2.3,3.4,3.4,D
24/08/13,Southampton,Sunderland,good,poor,3,6,8.0,21.0,3.0,3.0,D,2,1.73,3.8,5.5,D
